2023-05-16 21:14:20,029   |   INFO   |   Registering routes...
2023-05-16 21:14:20,144   |   INFO   |   Updated formulas database info!
2023-05-16 21:14:20,360   |   INFO   |   Got user with id: 1!
2023-05-16 21:14:20,483   |   ERROR   |   
2023-05-16 21:15:42,783   |   INFO   |   Scanning directories...
2023-05-16 21:15:42,783   |   INFO   |   Scanned directories successfully!
2023-05-16 21:15:42,783   |   INFO   |   Registering login manager...
2023-05-16 21:15:42,783   |   INFO   |   Registering routes...
2023-05-16 21:15:42,905   |   INFO   |   Updated formulas database info!
2023-05-16 21:15:44,424   |   INFO   |   Got user with id: 1!
2023-05-16 21:15:44,533   |   ERROR   |   
2023-05-16 21:15:46,282   |   INFO   |   Got user with id: 1!
2023-05-16 21:15:46,299   |   INFO   |   Got user with id: 1!
2023-05-16 21:15:46,366   |   ERROR   |   
2023-05-16 21:15:53,852   |   INFO   |   Got user with id: 1!
2023-05-16 21:15:53,942   |   ERROR   |   
2023-05-16 21:15:54,773   |   INFO   |   Got user with id: 1!
2023-05-16 21:15:54,840   |   ERROR   |   
2023-05-16 21:15:57,053   |   INFO   |   Got user with id: 1!
2023-05-16 21:15:57,082   |   ERROR   |   
2023-05-16 21:15:58,480   |   ERROR   |   
2023-05-16 21:16:23,543   |   INFO   |   Scanning directories...
2023-05-16 21:16:23,543   |   INFO   |   Scanned directories successfully!
2023-05-16 21:16:23,544   |   INFO   |   Registering login manager...
2023-05-16 21:16:23,544   |   INFO   |   Registering routes...
2023-05-16 21:16:23,659   |   INFO   |   Updated formulas database info!
2023-05-16 21:16:23,745   |   INFO   |   Got user with id: 1!
2023-05-16 21:16:23,858   |   ERROR   |   
2023-05-16 21:16:24,183   |   ERROR   |   
2023-05-16 21:16:24,221   |   ERROR   |   
2023-05-16 21:16:25,435   |   ERROR   |   
2023-05-16 21:16:26,331   |   INFO   |   Got user with id: 1!
2023-05-16 21:16:26,420   |   ERROR   |   
2023-05-16 21:16:27,168   |   INFO   |   Got user with id: 1!
2023-05-16 21:16:27,267   |   ERROR   |   
2023-05-16 21:16:27,360   |   INFO   |   Got user with id: 1!
2023-05-16 21:16:27,443   |   ERROR   |   
2023-05-16 21:16:28,358   |   INFO   |   Got user with id: 1!
